product_name_en,ingredients_text_en,brands,categories,labels,origins,countries
Original Complete Care Toothpaste,,Aquafresh,"Non food products, Open Beauty Facts",,,United Kingdom
,,Sante,"Productos no alimenticios, Open Beauty Facts","Vegetariano, Vegano",,España
Smooth mint Toothpaste,,Hismile,,,,United States
,,,Toothpaste,,,Kenya
Total Active Fresh Toothpaste,,Colgate,"Non food products, Open Beauty Facts",,,United Kingdom
Toothpaste,,Colgate,"Non food products, Open Beauty Facts",,,United Kingdom
,"water hydrated silica sorbitol propylene glycol glycerin tetrapotassium pyrophosphate xanthan gum sodium c14-16 olefin sulfonate, urea aroma, sodium fluoride allantoin zinc research shows sodium saccharine calcium glycerophosphate limonene ci 74160 ci 77891 has e e-dental-kos harvesting k gmbh , co, kg katharinenstr, 4 de-01099 dresden 125 ml e 12 m ean 2006 0220",Nevadent,"Non-Food-Produkte, Open Beauty Facts, en:Toothpaste",,,Schweiz
,,Candida,"Non alimentaire, Open Beauty Facts, en:toothpaste",,,"Allemagne, Suisse"
Flouride Toothpaste,,Dentitex,"Non food products, Open Beauty Facts",,,United States
grin toothpaste,"glycerine (palm-free), silica, aqua (water), xylitol, natural fruit flavour, lauryl glucoside (palm-free), xanthan gum, grapefruit seed extract, aloe barbadensis (aloe vera) leaf extract, sodium chloride (nz fine sea salt), helianthus annuus (sunflower) seed oil, calendula officinalis flower extract",,"Non food products, Open Beauty Facts",,,New Zealand
Oral-B SENSITIVITY AND GUM,"WATER (WATER PURIFIED), SORBITOL, HYDRATED SILICA (SILICON DIOXIDE), SODIUM LAURYL SULFATE, SODIUM GLUCONATE, CARRAGEENAN (CHONDRUS CRISPUS), FLAVOR, XANTHAN GUM, COCAMIDOPROPYL BETAINE, ZINC CITRATE, STANNOUS FLUORIDE, SODIUM HYDROXIDE, STANNOUS CHLORIDE, SODIUM SACCHARIN (SACCHARIN SODIUM), SODIUM FLUORIDE, SUCRALOSE, CI 77891 (TITANIUM DIOXIDE). Batch number / Manufacturing & Expiry Date (MMYY): See package. Ⓒ2021 P&G For more oral care information visit us at www.oralb.com.au TOOTHPASTE MADE IN GERMANY. nn U nn uuuttt ** nni nnnni BOX nnnnn arl.org.au (tett P&G 1000000 1",Oral-B DENTAL SCIENCE,"Health-care, Toothpaste",Made in Germany,,Australia
Toothpaste,"drug facts (continued) directions do not swallow supervise children as necessary until capable of using without supervision • rinse away toothpaste residue thoroughly after brushing adults and children 2 years and older children under 6 years children under 2 years brush teeth thoroughly after meals or at least twice a day, or use as directed by a dentist or physician instruct in good brushing and rinsing habits (to minimize swallowing) ask a dentist or physician inactive ingredients sodium bicarbonate (baking soda), peg-8, peg/ppg 116/66 copolymer, sodium carbonate peroxide, tetrasodium pyrophosphate, silica, sodium saccharin, flavor, water, sodium lauryl sulfate, sodium lauroyl sarcosinate. questions or comments? call 1-800-786-5135 mon.-fri. 9am-5pm et or visit www.myoralcare.com g, nj 08628 u.s.a. made in the usa with us and foreign materials. pcfc-18770-09 72019357 *in har areas to a lea toothp **data",Arm & Hammer,"Non food products, Open Beauty Facts",,,United States
Toothpaste,,Aquafresh,"Non food products, Open Beauty Facts",,,United States
Enzymatic Toothpaste,,Virbac,,,,United States
Dog Toothpaste,,Logic Oral Hygiene Gel,,,,United Kingdom
Toothpaste Box,,Toms,,,,United States
arm & hammer toothpaste,"indications: arm & hammertm sensitive provides maximum relief from painful tooth & nerve sensitivity due to cold, heat, acids, sweets or contact. a decrease in sensitivity should occur within the first 2 weeks of regular brushing and improve with continued use. aids in the prevention of dental decay. directions: recommended for adults and children over 12. brush teeth thoroughly after meals or at least twice a day. consult your dentist about tooth sensitivity. adults and children over 12 years: cover toothbrush with the toothpaste. caution: do not swallow. keep out of reach of children. if more than used for brushing is accidentally swallowed, get medical help or contact a poison control centre right away. consult your dentist if symptoms persist or worsen. indications: arm & hammermc sensitive procure un soulagement maximal de la douleur dentaire et de la sensibilité nerveuse dues au froid, à la chaleur, aux acides, aux sucres ou au contact. son action se fait sentir dès les deux premières semaines de brossage régulier et s'intensifie avec un usage continu. il aide aussi à prévenir la carie. mode d'emploi : recommandé pour les adultes et les enfants de plus de 12 ans. se brosser soigneusement les dents après les repas ou au moins deux fois par jour. consulter un dentiste au sujet de la sensibilité des dents. adultes et enfants de plus de 12 ans : couvrir la brosse à dents de dentifrice. mise en garde: ne pas avaler. garder hors de la portée des enfants. en cas d'ingestion d'une quantité supérieure à celle d'un brossage, appeler un médecin ou un centre antipoison immédiatement. consulter un dentiste si les symptômes persistent au s'aggravent. medicinal ingredients/ingrédients medicinaux: fluoride 0.11% w/w (as sodium fluoride 0.243% w/w), potassium nitrate 5.0% w/w/fluorure 0,11 % p/p (sous forme de fluorure de sodium 0,23% p/p) nitrate de potassium 5,0 % p/p non-medicinal ingredients/ingrédients non-médicinaux: aqua, aroma, cellulose gum, glyceria lica del dium bicarbonate, sodium lauroyl sarcosinate, sodium lauryl sulfate, spaus saccharin, sorbitol, titanium dioxide, xanthan gum church & dwight canada corp. mississauga, on canada tm/mc church & dwight co., inc. 1-866-931-9741 m-f 9am-5p",,,,,Canada
Toothpaste,,Waken,,,,United States
dr brown toothpaste,"glycerin, aqua (water), xylitol, propanediol, sorbitol, pectin, xanthan gum, aroma (flavor), silica, sorbic acid, calcium lactatere",,,,,United States
miswak herbal toothpaste,,dabur indialimited,Toothpaste,,India,Algeria
crest pro health toothpaste,,crest,,,,Canada
Whitening Toothpaste,,Macleans,,,,United Kingdom
vantej toothpaste,,Dr reddys,,,,India
Dental,"aqua, sorbitol, hydrated silica, glycerin, sodium lauroyl sarcosinate, peg-32, cellulose gum, titanium dioxide, menthol, aroma, sodium saccharin, mentha piperita oil, trisodium phosphate, sodium benzoate, aloe barbadensis leaf.",All Smiles,Toothpaste,,,Australia
Dantkanti,,Patanjali,"Non food products, Open Beauty Facts, Toothpaste",,,India
,,Denivit,"Non alimentaire, Open Beauty Facts, en:toothpaste",en:teste cliniquement,"en:chlore, en:sodium, en:zinc",Tunisie
Promamel Toothpaste,,Sensodyne,,,,United Kingdom
Spearmint Toothpaste,,Waken,,,,United Kingdom
Toothpaste tablets,,Ecoliving,,,,United Kingdom
Pro Formula Charcoal Toothpaste,,Tesco,,,,United Kingdom
Cinnamon Natural Toothpaste,,Grants of Australia,,,,Australia
volcano toothpaste,"sorbitol, aqua (water), hydrated silica, xylitol, aroma (flavor), charcoal powder, olea europaea (olive) fruit oil, glycerin, cellulose gum, sodium lauroyl sarcosinate, sodium citrate, sodium fluoride, potassium sorbate, sodium saccharin, lactic acid, sodium benzoate, limonene &quot;organically cultivated, **water , volcano water",,,,,United Kingdom
,,Lavera,"Non food products, Open Beauty Facts, Toothpaste",,,Switzerland
,,Crest,"Non alimentaire, Open Beauty Facts, en:toothpaste",,,Canada
Toothpaste Cavity Protection,"AQUA, AROMA, CELLULOSE, GUM, DICALCIUM, PHOSPHATE, DIHYDRATE, GLYCERIN, SODIUM LAURYL SULFATE, SODIUM SACCHARIN, TETRASODIUM PYROPHOSPHATE.",Colgate,"Non food products, Open Beauty Facts, Toothpaste",,,Canada
closeup,,coseup,"Non food products, Open Beauty Facts, Toothpaste",,,Ethiopia
whitening toothpaste,,white glo,,,,Malaysia
equate antiplaque whitenimg toothpaste,"calcium carbonate, glycerin, water, xylitol, hydrated silica, sodium lauroyl sarcosinate, benton zinc citrate, carrageenan, sodium bicarbonate, mentha piperita (peppermint) oil, distrie *this pr distrib",,,,,United States
Pronamel Gentle Whitening Toothpaste,,Sensodyne,,,,United States
Dog toothpaste,,Beaphar,,,,United Kingdom
Toothpaste,,Sensodyne,,,,United Kingdom
Xylitol Chewtab Toothpaste Tablets,,Xylitol,,,,United States
Lunar Peppermint Stain Removal Whitening Toothpaste,,,,,,United States
"Jelly beans, stink bug, toasted marshmallow, dirty dishwater, birthday cake, rotten egg, buttered popcorn, toothpaste, berry blue, barf, peach, canned dog food, chocolate pudding, booger, juicy pear, spoiled milk, coconut, stinky socks, tutti-fruitti, dea","Sugar, tapioca syrup, modified food starch, contains 2% or less of the following: peach puree concentrate, banana puree, pear juice concentrate, coconut, dark chocolate (sugar, chocolate liquor, cocoa butter), cocoa powder, natural and artificial flavors, vinegar, citric acid, sodium citrate, sodium diacetate, color added, red 40 lake, yellow 5 & 6 lake, yellow 5 & 6, red 40, blue 1 & 2 lake, blue 1, vegetable and fruit juice (color), maltodextrin, beeswax, carnauba wax, confectioner's glaze, tapioca dextrin, salt.",,"Snacks, Sweet snacks, Confectioneries",,,United States
toothpaste,,cavities,en:Tesco,en:tube,,المملكة المتحدة
Davids Natural ToothPaste,"calcium carbonate (limestone abrasive), purified water, sodium bicarbonate (baking soda), vegetable glycerin, hydrated silica, xylitol (birch derived), sodium cocoyl glutamate (coconut derived), carrageenan (seaweed extract), mentha piperita (peppermint) oil, mentha viridis (spearmint) leaf oil, pimpinella anisum (anise) seed extract, gaultheria procumbens (wintergreen) leaf oil, stevia (leaf extract), davids natural toothpaste, inc,, temecula, california www,davids-usa,com made in usa nature america you",,,,,United States
Aloe Vera crogeita,,,"Non food products, Open Beauty Facts, Toothpaste",,,France
